ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2705218,Bing,,2,2017-06-30 19:57:15,2017-07-01 01:57:15,37.57371,-122.26222,37.616495,-122.15635,6.506,At San Mateo Bridge - Accident.,,CA-92 E,R,San Mateo,San Mateo,CA,94404,US,US/Pacific,KSQL,2017-06-30 19:47:00,60.8,,68.0,29.94,10.0,West,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705217,Bing,,2,2017-06-30 19:21:16,2017-07-01 01:21:16,38.227608000000004,-122.120324,38.228476,-122.118471,0.11699999999999999,At CA-12 East - Accident.,,CA-12 E,R,Fairfield,Solano,CA,94534,US,US/Pacific,KAPC,2017-06-30 18:54:00,71.1,,59.0,29.84,10.0,SSW,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705210,Bing,,2,2017-06-30 18:12:17,2017-07-01 00:12:17,37.32328,-121.94056,37.32638,-121.9407,0.214,At Stevens Creek Blvd - Accident.,,Stevens Creek Blvd,R,San Jose,Santa Clara,CA,95128,US,US/Pacific,KSJC,2017-06-30 17:53:00,71.1,,59.0,29.93,10.0,WNW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457290,MapQuest,201.0,2,2017-06-30 17:34:09,2017-06-30 18:03:49,38.00095,-122.037872,,,0.0,Left lane blocked due to accident on CA-4 Eastbound at Exits 15A 15B CA-242.,,CA-242 S,R,Concord,Contra Costa,CA,94520,US,US/Pacific,KCCR,2017-06-30 17:53:00,79.0,,42.0,29.82,10.0,SSW,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457291,MapQuest-Bing,201.0,3,2017-06-30 17:31:53,2017-06-30 18:01:36,38.092793,-122.234734,,,0.0,#3 lane blocked due to accident on I-780 Eastbound at Curtola Pkwy.,,Lemon St,R,Vallejo,Solano,CA,94590,US,US/Pacific,KAPC,2017-06-30 17:54:00,75.0,,51.0,29.84,10.0,SSW,16.1,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2705197,Bing,,2,2017-06-30 16:59:34,2017-06-30 22:59:34,37.53141,-121.9407,37.533390000000004,-121.93703000000001,0.243,At Washington Blvd - Accident.,,I-680 N,R,Fremont,Alameda,CA,94539,US,US/Pacific,KNUQ,2017-06-30 16:56:00,70.0,,61.0,29.95,10.0,NNW,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457287,MapQuest,201.0,2,2017-06-30 16:45:42,2017-06-30 17:15:11,37.582378000000006,-122.252899,,,0.0,#1 lane blocked due to accident on CA-92 Westbound at High Rise.,,J Arthur Younger Fwy W,R,San Mateo,San Mateo,CA,94404,US,US/Pacific,KSQL,2017-06-30 15:49:00,66.2,,60.0,29.96,10.0,West,18.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705194,Bing,,2,2017-06-30 16:33:20,2017-06-30 22:33:20,37.84879,-122.29683,37.850159999999995,-122.2989,0.147,Ramp to I-80 Eastbound/I-580 Westbound - Accident.,601.0, Ashby Ave,R,Berkeley,Alameda,CA,94710-2801,US,US/Pacific,KOAK,2017-06-30 16:53:00,66.0,,65.0,29.95,10.0,West,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705193,Bing,,2,2017-06-30 16:33:20,2017-06-30 22:33:20,37.849059999999994,-122.29579,37.84879,-122.29683,0.06,Ramp to I-80/I-580 - Accident.,603.0, Ashby Ave,R,Berkeley,Alameda,CA,94710-2801,US,US/Pacific,KOAK,2017-06-30 16:53:00,66.0,,65.0,29.95,10.0,West,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705195,Bing,,2,2017-06-30 16:33:20,2017-06-30 22:33:20,37.850159999999995,-122.2989,37.85094,-122.29921000000002,0.055999999999999994,Ramp to CA-13/Ashby Ave/Bay St - Accident.,,I-580 W,R,Berkeley,Alameda,CA,94710,US,US/Pacific,KOAK,2017-06-30 16:53:00,66.0,,65.0,29.95,10.0,West,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457282,MapQuest,201.0,2,2017-06-30 15:27:06,2017-06-30 15:56:42,37.428416999999996,-122.10138700000002,,,0.0,#2 lane blocked due to accident on US-101 Southbound at Exits 400B 400C San Antonio Rd.,,US-101 N,R,Palo Alto,Santa Clara,CA,94303,US,US/Pacific,KPAO,2017-06-30 15:47:00,73.4,,57.0,29.95,10.0,NW,20.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705178,Bing,,2,2017-06-30 15:12:25,2017-06-30 21:12:25,37.582366,-122.252925,37.582366,-122.252925,0.0,At San Mateo Bridge - Accident.,,J Arthur Younger Fwy W,R,San Mateo,San Mateo,CA,94404,US,US/Pacific,KSQL,2017-06-30 14:47:00,66.2,,60.0,29.98,10.0,West,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457277,MapQuest,201.0,2,2017-06-30 15:07:01,2017-06-30 15:36:38,37.564674,-122.272102,,,0.0,#1 lane blocked due to accident on CA-92 Eastbound at Exit 14B Foster City Blvd.,,CA-92 E,R,San Mateo,San Mateo,CA,94404,US,US/Pacific,KSQL,2017-06-30 14:47:00,66.2,,60.0,29.98,10.0,West,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457276,MapQuest,201.0,2,2017-06-30 15:05:24,2017-06-30 15:35:00,37.349865,-121.90869099999999,,,0.0,#3 lane blocked due to accident on CA-87 Guadalupe Pkwy Northbound at Exit 7 Taylor St.,,Guadalupe Pkwy N,R,San Jose,Santa Clara,CA,95110,US,US/Pacific,KSJC,2017-06-30 14:53:00,72.0,,57.0,29.96,10.0,WNW,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457278,MapQuest-Bing,201.0,2,2017-06-30 15:04:48,2017-06-30 15:34:06,37.743958,-122.405594,,,0.0,#5 lane blocked due to accident on US-101 Northbound at Exit 432 Cesar Chavez.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-06-30 14:56:00,64.0,,60.0,29.98,10.0,West,23.0,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705171,Bing,,2,2017-06-30 14:51:26,2017-06-30 20:51:26,37.56174,-122.27628999999999,37.56453,-122.27231,0.29100000000000004,At Foster City Blvd - Accident.,,CA-92 E,R,San Mateo,San Mateo,CA,94404,US,US/Pacific,KSQL,2017-06-30 14:47:00,66.2,,60.0,29.98,10.0,West,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705163,Bing,,2,2017-06-30 14:38:42,2017-06-30 20:38:42,37.56635,-122.04168,37.56084,-122.03578,0.499,At CA-84/Decoto Rd - Accident.,,Nimitz Fwy S,R,Fremont,Alameda,CA,94555,US,US/Pacific,KHWD,2017-06-30 14:54:00,64.9,,58.0,30.01,10.0,West,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705161,Bing,,2,2017-06-30 13:54:23,2017-06-30 19:54:23,38.254567,-122.336453,38.255196000000005,-122.341324,0.268,At CA-12/CA-121/Sonoma Hwy - Accident.,4320.0, Sonoma Hwy,L,Napa,Napa,CA,94559,US,US/Pacific,KAPC,2017-06-30 13:54:00,73.9,,52.0,29.91,10.0,SSW,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705159,Bing,,2,2017-06-30 13:54:23,2017-06-30 19:54:23,38.255196000000005,-122.341324,38.254567,-122.336453,0.268,At CA-29 (South) - Accident.,4612.0, Sonoma Hwy,L,Napa,Napa,CA,94559,US,US/Pacific,KAPC,2017-06-30 13:54:00,73.9,,52.0,29.91,10.0,SSW,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457270,MapQuest,201.0,2,2017-06-30 13:46:50,2017-06-30 14:15:54,38.160545,-122.57193799999999,,,0.0,Left lane blocked due to accident on US-101 Redwood Hwy Northbound at San Antonio Rd.,,Redwood Hwy S,R,Novato,Marin,CA,94945,US,US/Pacific,KDVO,2017-06-30 13:55:00,77.0,,50.0,29.93,10.0,Variable,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457269,MapQuest,201.0,3,2017-06-30 13:45:46,2017-06-30 14:15:27,37.869521999999996,-122.30476399999999,,,0.0,Accident on I-580 Westbound at University Ave.,,Eastshore Fwy W,R,Berkeley,Alameda,CA,94710,US,US/Pacific,KOAK,2017-06-30 13:53:00,64.9,,68.0,29.99,10.0,West,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457268,MapQuest,201.0,3,2017-06-30 13:30:08,2017-06-30 13:59:40,38.322410999999995,-122.025726,,,0.0,#1 lane blocked due to accident on I-80 Eastbound at Exit 51A Cherry Glen Rd.,,I-80 E,R,Fairfield,Solano,CA,94533,US,US/Pacific,KSUU,2017-06-30 13:58:00,81.7,,41.0,29.88,10.0,WSW,20.7,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457265,MapQuest,201.0,3,2017-06-30 13:11:03,2017-06-30 13:40:45,37.491714,-121.919075,,,0.0,Slow lane blocked due to accident on I-680 Northbound at Exit 12 CA-262 Mission Blvd.,,I-680 N,R,Fremont,Alameda,CA,94539,US,US/Pacific,KNUQ,2017-06-30 12:56:00,68.0,,63.0,30.0,10.0,North,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457266,MapQuest,201.0,2,2017-06-30 13:09:28,2017-06-30 13:39:08,37.769413,-122.208656,,,0.0,Accident on CA-185 International Blvd Northbound at 50th Ave.,1349.0,50th Ave,L,Oakland,Alameda,CA,94601-5103,US,US/Pacific,KOAK,2017-06-30 12:53:00,64.0,,67.0,30.0,10.0,WSW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-457264,MapQuest,201.0,3,2017-06-30 13:03:53,2017-06-30 13:32:22,37.729462,-122.186745,,,0.0,#3 lane blocked due to accident on I-880 Southbound at Exit 35 98th Ave.,,Nimitz Fwy S,R,Oakland,Alameda,CA,94603,US,US/Pacific,KOAK,2017-06-30 12:53:00,64.0,,67.0,30.0,10.0,WSW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705148,Bing,,2,2017-06-30 12:51:59,2017-06-30 18:51:59,37.76432,-122.21711,37.77192,-122.2239,0.643,At High St - Accident.,,I-880 N,R,Oakland,Alameda,CA,94601,US,US/Pacific,KOAK,2017-06-30 12:53:00,64.0,,67.0,30.0,10.0,WSW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457261,MapQuest,201.0,3,2017-06-30 12:51:41,2017-06-30 13:21:15,37.94117,-122.324051,,,0.0,#1 lane blocked due to accident on I-80 Eastbound at Solano Ave.,,I-80 E,R,Richmond,Contra Costa,CA,94805,US,US/Pacific,KCCR,2017-06-30 12:53:00,80.1,,42.0,29.89,10.0,South,12.7,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705150,Bing,,2,2017-06-30 12:51:23,2017-06-30 18:51:23,37.535441999999996,-122.07526399999999,37.535441999999996,-122.07526399999999,0.0,At Dumbarton Brg Toll Plaza - Accident.,,CA-84 W,R,Fremont,Alameda,CA,94555,US,US/Pacific,KHWD,2017-06-30 12:54:00,64.9,,58.0,30.02,10.0,NW,9.2,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705147,Bing,,2,2017-06-30 12:47:39,2017-06-30 18:47:39,38.27009,-122.05232,38.27617,-122.04718000000001,0.504,At Airbase Pky/Waterman Blvd - Accident.,,I-80 E,R,Fairfield,Solano,CA,94533,US,US/Pacific,KSUU,2017-06-30 12:58:00,77.9,,43.0,29.9,10.0,WSW,18.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705125,Bing,,2,2017-06-30 10:05:34,2017-06-30 16:05:34,37.33312,-121.93802,37.33569,-121.93466000000001,0.256,At Bascom Ave - Accident.,,I-880 N,R,San Jose,Santa Clara,CA,95128,US,US/Pacific,KSJC,2017-06-30 09:53:00,66.0,,65.0,29.99,8.0,Variable,4.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457236,MapQuest,201.0,2,2017-06-30 09:07:43,2017-06-30 09:37:27,38.092793,-122.234734,,,0.0,Accident on Lemon St at I-780.,,Lemon St,R,Vallejo,Solano,CA,94590,US,US/Pacific,KAPC,2017-06-30 08:54:00,59.0,,78.0,29.96,9.0,SW,12.7,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-457233,MapQuest,241.0,2,2017-06-30 09:01:48,2017-06-30 09:31:07,37.460377,-122.14093799999999,,,0.0,#1 lane blocked due to accident on US-101 Southbound before University Ave.,,Bayshore Fwy S,R,Palo Alto,San Mateo,CA,94303,US,US/Pacific,KPAO,2017-06-30 10:47:00,64.4,,73.0,30.0,10.0,North,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457230,MapQuest,201.0,3,2017-06-30 08:55:02,2017-06-30 09:24:08,37.646046000000005,-122.094872,,,0.0,Accident on I-880 Southbound at CA-92. On the median.,,Nimitz Fwy S,R,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2017-06-30 08:54:00,59.0,,69.0,30.03,10.0,WNW,6.9,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705117,Bing,,2,2017-06-30 08:53:33,2017-06-30 14:53:33,37.623973,-122.07911499999999,37.620256,-122.076444,0.29600000000000004,At Industrial Pky - Accident.,,Nimitz Fwy S,R,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2017-06-30 08:54:00,59.0,,69.0,30.03,10.0,WNW,6.9,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705114,Bing,,2,2017-06-30 08:12:59,2017-06-30 14:12:59,37.620253000000005,-122.07644199999999,37.617701000000004,-122.07463,0.20199999999999999,At Industrial Pky - Accident.,,Nimitz Fwy S,R,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2017-06-30 07:54:00,59.0,,69.0,30.02,10.0,West,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457228,MapQuest,241.0,3,2017-06-30 08:11:09,2017-06-30 08:40:22,37.617599,-122.074554,,,0.0,#2 lane blocked due to accident on I-880 Southbound after Exit 25 Industrial Pkwy.,,Industrial Pkwy W,R,Hayward,Alameda,CA,94544,US,US/Pacific,KHWD,2017-06-30 07:54:00,59.0,,69.0,30.02,10.0,West,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457226,MapQuest,201.0,3,2017-06-30 07:58:51,2017-06-30 08:28:29,37.361979999999996,-121.90340400000001,,,0.0,Accident on I-880 Northbound near US-101 .,,I-880 N,R,San Jose,Santa Clara,CA,95112,US,US/Pacific,KSJC,2017-06-30 07:53:00,60.1,,78.0,29.99,7.0,NNW,5.8,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457220,MapQuest-Bing,241.0,2,2017-06-30 06:37:32,2017-06-30 07:06:32,38.000584,-122.054092,,,0.0,#2 lane blocked due to accident on CA-4 Eastbound before Solano Way.,,CA-4 E,R,Concord,Contra Costa,CA,94520,US,US/Pacific,KCCR,2017-06-30 06:53:00,55.9,,84.0,29.91,10.0,South,17.3,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457216,MapQuest,201.0,2,2017-06-30 06:12:39,2017-06-30 06:42:03,38.101646,-122.56145500000001,,,0.0,Accident on US-101 Northbound after De Long Ave.,,Redwood Hwy S,R,Novato,Marin,CA,94945,US,US/Pacific,KDVO,2017-06-30 06:15:00,53.6,,94.0,29.97,10.0,Calm,,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457205,MapQuest,201.0,2,2017-06-30 04:05:43,2017-06-30 04:51:01,37.250626000000004,-121.839729,,,0.0,Accident on CA-85 Northbound after Exit 4 Blossom Hill Rd.,,Blossom Ave,R,San Jose,Santa Clara,CA,95123,US,US/Pacific,KRHV,2017-06-30 07:47:00,57.2,,82.0,30.01,10.0,Calm,,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-457201,MapQuest,201.0,3,2017-06-30 02:30:11,2017-06-30 03:28:38,37.318855,-121.902046,,,0.0,#1 #2 lane blocked due to accident on I-280 Southbound at Exits 3A 3B Bird Ave.,,I-280 S,R,San Jose,Santa Clara,CA,95125,US,US/Pacific,KSJC,2017-06-30 02:53:00,59.0,,81.0,29.98,10.0,Calm,,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-457199,MapQuest,241.0,2,2017-06-30 00:41:36,2017-06-30 01:26:06,37.294685,-121.81015,,,0.0,Lane blocked due to accident on US-101 Northbound at Exits 381 382 Yerba Buena Rd.,,Yerba Buena Rd,R,San Jose,Santa Clara,CA,95121,US,US/Pacific,KRHV,2017-06-30 07:47:00,57.2,,82.0,30.01,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-457195,MapQuest,241.0,3,2017-06-30 00:12:39,2017-06-30 00:57:06,37.317062,-121.97492199999999,,,0.0,Lane blocked due to accident on I-280 Northbound at Exit 7 Saratoga Ave.,,Saratoga Ave,R,San Jose,Santa Clara,CA,95129,US,US/Pacific,KSJC,2017-06-30 00:53:00,59.0,,81.0,30.0,10.0,North,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-457196,MapQuest,201.0,2,2017-06-30 00:01:10,2017-06-30 00:45:47,37.323184999999995,-121.964134,,,0.0,Right hand shoulder blocked due to accident on County Hwy-G4 San Tomas Expy both ways at Stevens Creek Blvd.,,Stevens Creek Blvd,R,San Jose,Santa Clara,CA,95117,US,US/Pacific,KSJC,2017-06-30 00:53:00,59.0,,81.0,30.0,10.0,North,3.5,,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-457193,MapQuest,241.0,3,2017-06-29 23:27:49,2017-06-30 00:12:19,37.334427000000005,-121.936485,,,0.0,Lane blocked due to accident and vehicles spun around on I-880 Northbound at Exits 1A 1B 1D Bascom Ave.,,N Bascom Ave,R,San Jose,Santa Clara,CA,95128,US,US/Pacific,KSJC,2017-06-29 23:34:00,57.9,,87.0,30.0,10.0,NNW,4.6,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-457194,MapQuest,201.0,2,2017-06-29 23:16:25,2017-06-30 00:00:30,37.551064000000004,-122.05381799999999,,,0.7699999809270001,Exit ramp from Ardenwood Blvd Westbound to CA-84 lane blocked due to accident.,,CA-84 W,R,Fremont,Alameda,CA,94555,US,US/Pacific,KHWD,2017-06-29 22:54:00,59.0,,72.0,30.04,10.0,West,10.4,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2705090,Bing,,2,2017-06-29 19:42:59,2017-06-30 01:42:59,38.00343,-122.04281,38.0081,-122.03073,0.733,At CA-242 - Accident.,,CA-4 E,R,Concord,Contra Costa,CA,94520,US,US/Pacific,KCCR,2017-06-29 19:53:00,66.9,,59.0,29.88,10.0,SSW,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-457184,MapQuest,201.0,2,2017-06-29 19:32:51,2017-06-29 20:02:21,38.00095,-122.037872,,,0.0,#4 & #5 lane blocked due to accident on CA-4 Eastbound at Exits 15A 15B CA-242.,,CA-242 S,R,Concord,Contra Costa,CA,94520,US,US/Pacific,KCCR,2017-06-29 19:53:00,66.9,,59.0,29.88,10.0,SSW,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705081,Bing,,2,2017-06-29 18:40:46,2017-06-30 00:40:46,37.79378,-122.20523999999999,37.791990000000006,-122.20329,0.163,At 35th Ave - Accident.,,I-580 E,R,Oakland,Alameda,CA,94602,US,US/Pacific,KOAK,2017-06-29 18:34:00,61.0,,78.0,29.99,8.0,West,17.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705073,Bing,,2,2017-06-29 17:44:33,2017-06-29 23:44:33,38.146370000000005,-122.21688999999999,38.13613,-122.22213,0.763,At CA-37/Columbus Pky - Accident.,,I-80 W,R,Vallejo,Solano,CA,94589,US,US/Pacific,KAPC,2017-06-29 17:54:00,73.0,,57.0,29.89,10.0,SSW,17.3,0.0,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2705068,Bing,,3,2017-06-29 17:30:19,2017-06-29 23:30:19,37.56635,-122.04168,37.56084,-122.03578,0.499,At CA-84/Decoto Rd - Accident.,,Nimitz Fwy S,R,Fremont,Alameda,CA,94555,US,US/Pacific,KHWD,2017-06-29 17:54:00,64.0,,65.0,30.01,10.0,West,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
